episode,total_reward,steps,success,collision,timeout,distance_to_target,parking_accuracy,exploration_rate,timestamp
123,44.67399163327988,200,False,False,True,5.6924898880690495,0.0,0.01,1748939762.4993312
124,-97.35207209337146,18,False,True,False,15.189071952575532,0.0,0.01,1748939762.6186335
125,-107.02135380236074,56,False,True,False,14.408029845230734,0.0,0.01,1748939762.986403
126,-2.4728956994850555,200,False,False,True,12.278303221240524,0.0,0.01,1748939764.3099635
127,-21.15770078275328,200,False,False,True,12.87146967201175,0.0,0.01,1748939765.6609526
128,1.1452875959291213,200,False,False,True,5.801932894087612,0.0,0.01,1748939766.9553988
129,-110.00344641260114,47,False,True,False,21.086964129282876,0.0,0.01,1748939767.2737565
130,-41.02729185225789,181,False,True,False,8.624150340434857,0.0,0.01,1748939768.4400458
131,-116.51699683494819,200,False,False,True,31.26488942357597,0.0,0.01,1748939769.7313147
132,-78.13111304001542,200,False,False,True,25.024218248038082,0.0,0.01,1748939771.0871365
133,-51.511670351842064,200,False,False,True,16.584194742199568,0.0,0.01,1748939772.408634
134,-48.82246988959595,121,False,True,False,6.889324759904824,0.0,0.01,1748939773.1991558
135,-102.00402889150591,84,False,True,False,17.97420922143966,0.0,0.01,1748939773.747922
136,-87.60292567821679,37,False,True,False,12.89153734614145,0.0,0.01,1748939773.9938736
137,-46.97194885921599,200,False,False,True,19.575504551104423,0.0,0.01,1748939775.4040332
138,121.35981219046897,200,False,False,True,7.715885875839462,0.0,0.01,1748939776.744203
139,-31.350778288207565,200,False,False,True,34.28813489340262,0.0,0.01,1748939778.1085432
140,-114.31135945254461,60,False,True,False,29.406231752731127,0.0,0.01,1748939778.523652
141,-27.20652139561708,200,False,False,True,11.984845694287333,0.0,0.01,1748939781.0068438
142,-119.86472268465977,114,False,True,False,14.140818727763387,0.0,0.01,1748939781.772648
143,141.42797159275833,200,False,False,True,20.245908692891224,0.0,0.01,1748939783.1272979
144,77.57371149682922,200,False,False,True,8.18365490487932,0.0,0.01,1748939784.4832153
145,-6.689811903653459,200,False,False,True,14.492314990621677,0.0,0.01,1748939785.8365648
146,-120.12184646836788,78,False,True,False,22.04429035733309,0.0,0.01,1748939786.3812013
147,-15.738943045333132,200,False,False,True,8.548719872903895,0.0,0.01,1748939787.8437018
148,-96.44905252672488,53,False,True,False,28.35194265522042,0.0,0.01,1748939788.250727
149,-22.19218216224791,200,False,False,True,12.88528536400768,0.0,0.01,1748939789.664348
150,-75.82807214446495,200,False,False,True,19.761999013477254,0.0,0.01,1748939791.2579136
151,-65.57267730431978,138,False,True,False,18.64539705280636,0.0,0.01,1748939792.3078074
152,128.79254284757948,189,False,True,False,4.594048405573365,0.0,0.01,1748939793.9217982
153,-104.25469631088778,102,False,True,False,20.25061798290177,0.0,0.01,1748939794.608232
154,-45.64945621529436,95,False,True,False,15.676148232062065,0.0,0.01,1748939795.2535832
155,-95.34688535936239,27,False,True,False,15.564398012735658,0.0,0.01,1748939795.4399965
156,-94.21073884168246,200,False,False,True,20.819602748655527,0.0,0.01,1748939797.079634
157,-33.982093636314126,200,False,False,True,36.302863500441944,0.0,0.01,1748939798.6108115
158,-74.41312033446755,200,False,False,True,19.93018150058629,0.0,0.01,1748939799.992372
159,-106.93030839114444,80,False,True,False,14.500434569027298,0.0,0.01,1748939800.542428
160,-26.946916122634637,200,False,False,True,11.013119860685133,0.0,0.01,1748939801.9379027
161,-15.6900514618127,77,False,True,False,9.744679397108838,0.0,0.01,1748939803.4303327
162,-80.55926176871124,200,False,False,True,27.47196024876404,0.0,0.01,1748939804.7816658
163,-53.949949611496585,200,False,False,True,18.79612486202776,0.0,0.01,1748939806.1691928
164,-60.75050283751136,200,False,False,True,17.42888009459959,0.0,0.01,1748939807.5603726
165,-119.00354985675649,85,False,True,False,17.959539347938005,0.0,0.01,1748939808.1273587
166,-78.00424405284399,200,False,False,True,19.89227842136006,0.0,0.01,1748939809.4791884
167,-79.48298070341374,61,False,True,False,11.39743912842212,0.0,0.01,1748939809.9008534
168,-62.900172190225796,44,False,True,False,19.99259480513595,0.0,0.01,1748939810.203439
169,29.513823324634888,200,False,False,True,14.962948954238792,0.0,0.01,1748939811.7885997
170,-52.038389749615405,200,False,False,True,17.363188144981706,0.0,0.01,1748939813.2833369
171,54.99750780459713,200,False,False,True,12.459904937185563,0.0,0.01,1748939814.7241876
172,176.04664882845384,200,False,False,True,8.839589304068916,0.0,0.01,1748939816.1923306
173,173.81322639375597,200,False,False,True,4.933286646969596,0.0,0.01,1748939817.6498806
174,-87.38109315649267,36,False,True,False,11.818638800700226,0.0,0.01,1748939817.930381
175,13.223348663751905,200,False,False,True,11.254059701486641,0.0,0.01,1748939819.327536
176,-100.5098413635063,150,False,True,False,12.967956611268416,0.0,0.01,1748939820.4261107
177,-114.4686851548601,34,False,True,False,26.853069769649153,0.0,0.01,1748939820.6769564
178,-14.374689198661066,200,False,False,True,10.99571168864567,0.0,0.01,1748939822.0872235
179,-44.713331855378165,200,False,False,True,26.933082585144373,0.0,0.01,1748939823.50647
180,-98.54382459668739,12,False,True,False,12.921930813430476,0.0,0.01,1748939823.602816
181,34.126117923375375,200,False,False,True,15.342786192054904,0.0,0.01,1748939826.1524262
182,-77.0435500934055,200,False,False,True,17.75517733955273,0.0,0.01,1748939827.5969338
183,-20.693297075342958,200,False,False,True,13.768311224834683,0.0,0.01,1748939828.9840906
184,21.314287391218517,200,False,False,True,26.33250912243988,0.0,0.01,1748939830.3998673
185,154.50854940984723,200,False,False,True,10.300863861918351,0.0,0.01,1748939831.9879146
186,-101.72553806952429,22,False,True,False,32.58497926091175,0.0,0.01,1748939832.169364
187,-3.8846232023781795,188,False,True,False,15.253826326064639,0.0,0.01,1748939833.5826728
188,-19.699063095916358,200,False,False,True,10.074659241484003,0.0,0.01,1748939835.0748832
189,-27.3520000430535,200,False,False,True,15.319436733987786,0.0,0.01,1748939836.4768286
190,13.94518306775582,167,False,True,False,14.317321912208365,0.0,0.01,1748939837.6739802
191,-135.8363426121849,159,False,True,False,21.38896009053106,0.0,0.01,1748939838.834683
192,-137.57140823717793,107,False,True,False,18.314121563789705,0.0,0.01,1748939839.6471016
193,-89.40230970028732,60,False,True,False,20.005724790284173,0.0,0.01,1748939840.0956013
194,-3.2159507800941984,200,False,False,True,10.652609290432496,0.0,0.01,1748939841.6237638
195,-144.55102686491637,200,False,False,True,35.07169459681779,0.0,0.01,1748939843.0979235
196,-48.179595218131965,200,False,False,True,29.439320993077796,0.0,0.01,1748939844.5161512
197,134.9943874350765,200,False,False,True,4.622808557269742,0.0,0.01,1748939845.9684725
198,-94.80547178347696,23,False,True,False,24.29747620364302,0.0,0.01,1748939846.128132
199,-85.41606994137553,64,False,True,False,8.319099441710714,0.0,0.01,1748939846.5734422
200,97.96483197777562,200,False,False,True,18.254827581678963,0.0,0.01,1748939848.0255954
201,39.0223715891275,200,False,False,True,13.50951509476609,0.0,0.01,1748939850.61519
202,-104.59816846549859,85,False,True,False,40.1167400305235,0.0,0.01,1748939851.2234106
203,-1.0196374923246085,200,False,False,True,12.10087379606817,0.0,0.01,1748939852.674025
204,-130.42705587399018,200,False,False,True,24.559460966332587,0.0,0.01,1748939854.0737047
205,8.244148277270572,200,False,False,True,21.08509414080709,0.0,0.01,1748939855.49846
206,-97.82631257531666,16,False,True,False,24.65597579388755,0.0,0.01,1748939855.619967
207,-11.775649227237468,200,False,False,True,9.949509767933248,0.0,0.01,1748939857.188295
208,3.5830073821614405,200,False,False,True,12.366268257339225,0.0,0.01,1748939858.7097838
209,-110.65388346364037,68,False,True,False,14.014397721743205,0.0,0.01,1748939859.2257297
